"","Period","Group","Sender","Time","ClientTime","Key","actions1","actions2","actions3","actions4","action","id","rank","payoff","targets1","targets2","targets3","targets4"
"1",1,1,"2",1457541199113778176,1457541199069,"state",NA,NA,NA,NA,0,0,1.5,0,NA,NA,NA,NA
"2",1,1,"2",1457541199113778176,1457541199069,"state",NA,NA,NA,NA,0,1,2.5,0,NA,NA,NA,NA
"3",1,1,"2",1457541199113778176,1457541199069,"state",NA,NA,NA,NA,0,2,3.5,0,NA,NA,NA,NA
"4",1,1,"2",1457541199113778176,1457541199069,"state",NA,NA,NA,NA,0,3,3.5,0,NA,NA,NA,NA
"5",1,1,"2",1457541199114062080,1457541199070,"actions",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,"2",1457541199114197504,1457541199070,"targets",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"7",1,1,"2",1457541199475475200,1457541199431,"state",NA,NA,NA,NA,0,0,1.5,0,NA,NA,NA,NA
"8",1,1,"2",1457541199475475200,1457541199431,"state",NA,NA,NA,NA,0,1,2.5,0,NA,NA,NA,NA
"9",1,1,"2",1457541199475475200,1457541199431,"state",NA,NA,NA,NA,0,2,3.5,0,NA,NA,NA,NA
"10",1,1,"2",1457541199475475200,1457541199431,"state",NA,NA,NA,NA,0,3,3.5,0,NA,NA,NA,NA
"11",1,1,"2",1457541199475667456,1457541199431,"actions",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,1,"2",1457541199475814400,1457541199432,"targets",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"13",1,1,"2",1457541199741323520,1457541199697,"state",NA,NA,NA,NA,9.99999999999983,1,1,666.666666666655,NA,NA,NA,NA
"14",1,1,"2",1457541199741323520,1457541199697,"state",NA,NA,NA,NA,0,0,2.5,0,NA,NA,NA,NA
"15",1,1,"2",1457541199741323520,1457541199697,"state",NA,NA,NA,NA,0,2,3.5,0,NA,NA,NA,NA
"16",1,1,"2",1457541199741323520,1457541199697,"state",NA,NA,NA,NA,0,3,3.5,0,NA,NA,NA,NA
"17",1,1,"2",1457541199741554432,1457541199697,"actions",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,1,"2",1457541199741714688,1457541199697,"targets",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"19",1,1,"2",1457541200007262464,1457541199963,"state",NA,NA,NA,NA,9.99999999999983,1,1,666.666666666655,NA,NA,NA,NA
"20",1,1,"2",1457541200007262464,1457541199963,"state",NA,NA,NA,NA,0,0,2.5,0,NA,NA,NA,NA
"21",1,1,"2",1457541200007262464,1457541199963,"state",NA,NA,NA,NA,0,2,3.5,0,NA,NA,NA,NA
"22",1,1,"2",1457541200007262464,1457541199963,"state",NA,NA,NA,NA,0,3,3.5,0,NA,NA,NA,NA
"23",1,1,"2",1457541200007501824,1457541199963,"actions",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"24",1,1,"2",1457541200007665920,1457541199963,"targets",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"25",1,1,"2",1457541200280200448,1457541200236,"state",NA,NA,NA,NA,9.99999999999983,1,1,666.666666666655,NA,NA,NA,NA
"26",1,1,"2",1457541200280200448,1457541200236,"state",NA,NA,NA,NA,0,0,2.5,0,NA,NA,NA,NA
"27",1,1,"2",1457541200280200448,1457541200236,"state",NA,NA,NA,NA,0,2,3.5,0,NA,NA,NA,NA
"28",1,1,"2",1457541200280200448,1457541200236,"state",NA,NA,NA,NA,0,3,3.5,0,NA,NA,NA,NA
"29",1,1,"2",1457541200280411136,1457541200236,"actions",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"30",1,1,"2",1457541200280592896,1457541200236,"targets",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"31",1,1,"2",1457541200556356352,1457541200512,"state",NA,NA,NA,NA,9.99999999999983,1,1,666.666666666655,NA,NA,NA,NA
"32",1,1,"2",1457541200556356352,1457541200512,"state",NA,NA,NA,NA,0,0,2.5,0,NA,NA,NA,NA
"33",1,1,"2",1457541200556356352,1457541200512,"state",NA,NA,NA,NA,0,2,3.5,0,NA,NA,NA,NA
