Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1457541175670233838,1457540548165,__set_config__,
0,0,3,1457541175918798494,0,__register__,"{""user_id"": ""3""}"
0,0,3,1457541175924795751,1457541175984,__page_loaded__,
0,0,admin,1457541176137144649,1457541173406,__page_loaded__,
0,1,3,1457541176155955029,1457541173425,__set_group__,"{""group"": 1}"
0,0,1,1457541176191287720,0,__register__,"{""user_id"": ""1""}"
0,1,1,1457541176214228759,1457541173481,__set_group__,"{""group"": 1}"
0,1,3,1457541176214474913,1457541173481,__set_group__,"{""group"": 1}"
0,0,1,1457541176272181919,1457541176198,__page_loaded__,
0,0,2,1457541179693432198,0,__register__,"{""user_id"": ""2""}"
0,1,1,1457541179712581864,1457541176982,__set_group__,"{""group"": 1}"
0,1,2,1457541179717373268,1457541176982,__set_group__,"{""group"": 1}"
0,1,3,1457541179717544280,1457541176982,__set_group__,"{""group"": 1}"
0,0,2,1457541179863310447,1457541179820,__page_loaded__,
0,0,4,1457541186447404229,0,__register__,"{""user_id"": ""4""}"
0,1,1,1457541186469339430,1457541183737,__set_group__,"{""group"": 1}"
0,1,2,1457541186469766463,1457541183737,__set_group__,"{""group"": 1}"
0,1,3,1457541186470134923,1457541183737,__set_group__,"{""group"": 1}"
0,1,4,1457541186470515967,1457541183737,__set_group__,"{""group"": 1}"
0,0,4,1457541186473506437,1457541183740,__page_loaded__,
0,0,admin,1457541187962522686,1457541185228,start_session,
0,0,1,1457541187986150497,1457541185251,__set_period__,"{""period"": 0}"
0,0,2,1457541187986334131,1457541185251,__set_period__,"{""period"": 0}"
0,0,3,1457541187986506028,1457541185251,__set_period__,"{""period"": 0}"
0,0,4,1457541187986673664,1457541185251,__set_period__,"{""period"": 0}"
0,0,3,1457541187988064652,1457541188048,__set_page__,"{""page"": ""Wait""}"
0,0,4,1457541188007853687,1457541185276,__set_page__,"{""page"": ""Wait""}"
0,0,1,1457541188062685639,1457541187989,__set_page__,"{""page"": ""Wait""}"
0,0,2,1457541188150684505,1457541188107,__set_page__,"{""page"": ""Wait""}"
0,0,3,1457541188232339240,1457541188292,__page_loaded__,
0,0,1,1457541188732079545,1457541188658,__page_loaded__,
0,0,4,1457541189307750323,1457541186573,__page_loaded__,
0,0,2,1457541192803142395,1457541192759,__page_loaded__,
0,1,3,1457541192804702175,1457541192864,_at_barrier,_on_load_0
0,1,4,1457541192822502345,1457541190092,_at_barrier,_on_load_0
0,1,1,1457541192879698161,1457541192805,_at_barrier,_on_load_0
0,1,2,1457541192966957194,1457541192923,_at_barrier,_on_load_0
0,0,3,1457541192971897182,1457541193032,_next_period,
0,1,3,1457541192973865859,1457541193034,_accumulated_points,0
1,0,3,1457541192974402535,1457541193034,__set_period__,"{""period"": 1}"
1,0,3,1457541192976008046,1457541193036,__set_page__,"{""page"": ""Start""}"
0,0,4,1457541192999521461,1457541190264,_next_period,
0,1,4,1457541193022818098,1457541190289,_accumulated_points,0
1,0,4,1457541193022922358,1457541190289,__set_period__,"{""period"": 1}"
0,0,1,1457541193046621315,1457541192972,_next_period,
1,0,4,1457541193051822184,1457541190312,__set_page__,"{""page"": ""Start""}"
0,1,1,1457541193122468245,1457541193048,_accumulated_points,0
1,0,1,1457541193122649674,1457541193048,__set_period__,"{""period"": 1}"
0,0,2,1457541193132864733,1457541193089,_next_period,
1,0,1,1457541193198496281,1457541193124,__set_page__,"{""page"": ""Start""}"
0,1,2,1457541193296696582,1457541193253,_accumulated_points,0
1,0,2,1457541193296855746,1457541193253,__set_period__,"{""period"": 1}"
1,0,2,1457541193461175269,1457541193417,__set_page__,"{""page"": ""Start""}"
1,0,3,1457541193464548193,1457541193524,__page_loaded__,
1,0,4,1457541193683604644,1457541190953,__page_loaded__,
1,0,1,1457541194473942620,1457541194400,__page_loaded__,
1,0,2,1457541198227236400,1457541198183,__page_loaded__,
1,1,3,1457541198228896845,1457541198289,_at_barrier,_on_load_1
1,1,4,1457541198246664793,1457541195515,_at_barrier,_on_load_1
1,1,1,1457541198303290751,1457541198230,_at_barrier,_on_load_1
1,1,2,1457541198391452561,1457541198347,_at_barrier,_on_load_1
1,1,4,1457541198474605416,1457541195742,_at_barrier,_timer_1_t_0_1
1,1,3,1457541198484095153,1457541198544,_at_barrier,_timer_1_t_0_1
1,1,1,1457541198542922144,1457541198469,_at_barrier,_timer_1_t_0_1
1,1,2,1457541198615130078,1457541198571,_at_barrier,_timer_1_t_0_1
1,1,3,1457541198624208058,1457541198684,__set_points__,"{""points"": 0, ""period"": 1}"
1,1,4,1457541198634237425,1457541195903,__set_points__,"{""points"": 0, ""period"": 1}"
1,1,1,1457541198691818638,1457541198618,__set_points__,"{""points"": 0, ""period"": 1}"
1,1,3,1457541198725497241,1457541198785,_at_barrier,_timer_1_t_1_1
1,1,4,1457541198734583246,1457541196003,_at_barrier,_timer_1_t_1_1
1,1,1,1457541198791841645,1457541198718,_at_barrier,_timer_1_t_1_1
