"Period","Group","Sender","datetime","Time","ClientTime","Key","actions.1","actions.2","action","id","rank","payoff","targets.1","targets.2"
1,1,"2","2016-04-06 11:32:40.576",1459967560575887360,1459967540806,"state",NA,NA,0,0,1.5,0,NA,NA
1,1,"2","2016-04-06 11:32:40.576",1459967560575887360,1459967540806,"state",NA,NA,0,1,1.5,0,NA,NA
1,1,"2","2016-04-06 11:32:40.576",1459967560576086272,1459967540806,"actions",0,0,NA,NA,NA,NA,NA,NA
1,1,"2","2016-04-06 11:32:40.576",1459967560576249856,1459967540806,"targets",NA,NA,NA,NA,NA,NA,0,0
1,1,"2","2016-04-06 11:32:47.298",1459967567298257920,1459967547522,"state",NA,NA,4.7,0,1,313.333333333333,NA,NA
1,1,"2","2016-04-06 11:32:47.298",1459967567298257920,1459967547522,"state",NA,NA,0.9,1,2,120,NA,NA
1,1,"2","2016-04-06 11:32:47.298",1459967567298479872,1459967547522,"actions",4.8,0.8,NA,NA,NA,NA,NA,NA
1,1,"2","2016-04-06 11:32:47.299",1459967567298645504,1459967547522,"targets",NA,NA,NA,NA,NA,NA,4.95,7.29
1,1,"2","2016-04-06 11:32:54.403",1459967574402705408,1459967554627,"state",NA,NA,6.55,1,1,436.666666666667,NA,NA
1,1,"2","2016-04-06 11:32:54.403",1459967574402705408,1459967554627,"state",NA,NA,4.95,0,2,660,NA,NA
1,1,"2","2016-04-06 11:32:54.403",1459967574402910464,1459967554627,"actions",4.95,6.55,NA,NA,NA,NA,NA,NA
1,1,"2","2016-04-06 11:32:54.403",1459967574403077376,1459967554627,"targets",NA,NA,NA,NA,NA,NA,4.95,6.55
1,1,"2","2016-04-06 11:33:00.999",1459967580999361792,1459967561216,"state",NA,NA,4.95,0,1,330,NA,NA
1,1,"2","2016-04-06 11:33:00.999",1459967580999361792,1459967561216,"state",NA,NA,4.49,1,2,598.666666666667,NA,NA
1,1,"2","2016-04-06 11:33:01.000",1459967580999556096,1459967561216,"actions",4.95,4.49,NA,NA,NA,NA,NA,NA
1,1,"2","2016-04-06 11:33:01.000",1459967580999740416,1459967561216,"targets",NA,NA,NA,NA,NA,NA,4.95,4.49
1,1,"2","2016-04-06 11:33:07.863",1459967587862837760,1459967568087,"state",NA,NA,7.36,0,1,490.666666666667,NA,NA
1,1,"2","2016-04-06 11:33:07.863",1459967587862837760,1459967568087,"state",NA,NA,4.49,1,2,598.666666666667,NA,NA
1,1,"2","2016-04-06 11:33:07.863",1459967587863057152,1459967568087,"actions",7.36,4.49,NA,NA,NA,NA,NA,NA
1,1,"2","2016-04-06 11:33:07.863",1459967587863227136,1459967568087,"targets",NA,NA,NA,NA,NA,NA,7.36,4.49
1,1,"2","2016-04-06 11:33:16.648",1459967596647593984,1459967576863,"state",NA,NA,8.99,0,1,599.333333333333,NA,NA
1,1,"2","2016-04-06 11:33:16.648",1459967596647593984,1459967576863,"state",NA,NA,4.49,1,2,598.666666666667,NA,NA
1,1,"2","2016-04-06 11:33:16.648",1459967596647787520,1459967576863,"actions",8.99,4.49,NA,NA,NA,NA,NA,NA
1,1,"2","2016-04-06 11:33:16.648",1459967596647949824,1459967576863,"targets",NA,NA,NA,NA,NA,NA,8.99,4.49
2,1,"2","2016-04-06 11:33:29.598",1459967609597723648,1459967589843,"state",NA,NA,0,0,1.5,0,NA,NA
2,1,"2","2016-04-06 11:33:29.598",1459967609597723648,1459967589843,"state",NA,NA,0,1,1.5,0,NA,NA
2,1,"2","2016-04-06 11:33:29.598",1459967609597930240,1459967589843,"actions",0,0,NA,NA,NA,NA,NA,NA
