"Period","Group","datetime","Key","action","id","rank","payoff","Time","ClientTime","Sender"
1,1,"2016-04-06 11:32:40.576","state",0,0,1.5,0,1459967560575887360,1459967540806,"2"
1,1,"2016-04-06 11:32:40.576","state",0,1,1.5,0,1459967560575887360,1459967540806,"2"
1,1,"2016-04-06 11:32:47.298","state",4.7,0,1,313.333333333333,1459967567298257920,1459967547522,"2"
1,1,"2016-04-06 11:32:47.298","state",0.9,1,2,120,1459967567298257920,1459967547522,"2"
1,1,"2016-04-06 11:32:54.403","state",6.55,1,1,436.666666666667,1459967574402705408,1459967554627,"2"
1,1,"2016-04-06 11:32:54.403","state",4.95,0,2,660,1459967574402705408,1459967554627,"2"
1,1,"2016-04-06 11:33:00.999","state",4.95,0,1,330,1459967580999361792,1459967561216,"2"
1,1,"2016-04-06 11:33:00.999","state",4.49,1,2,598.666666666667,1459967580999361792,1459967561216,"2"
1,1,"2016-04-06 11:33:07.863","state",7.36,0,1,490.666666666667,1459967587862837760,1459967568087,"2"
1,1,"2016-04-06 11:33:07.863","state",4.49,1,2,598.666666666667,1459967587862837760,1459967568087,"2"
1,1,"2016-04-06 11:33:16.648","state",8.99,0,1,599.333333333333,1459967596647593984,1459967576863,"2"
1,1,"2016-04-06 11:33:16.648","state",4.49,1,2,598.666666666667,1459967596647593984,1459967576863,"2"
2,1,"2016-04-06 11:33:29.598","state",0,0,1.5,0,1459967609597723648,1459967589843,"2"
2,1,"2016-04-06 11:33:29.598","state",0,1,1.5,0,1459967609597723648,1459967589843,"2"
2,1,"2016-04-06 11:33:36.189","state",5.94,0,1,396,1459967616188604672,1459967596428,"2"
2,1,"2016-04-06 11:33:36.189","state",0,1,2,0,1459967616188604672,1459967596428,"2"
2,1,"2016-04-06 11:33:42.978","state",6.41,1,1,427.333333333333,1459967622977813504,1459967603217,"2"
2,1,"2016-04-06 11:33:42.978","state",5.94,0,2,792,1459967622977813504,1459967603217,"2"
2,1,"2016-04-06 11:33:49.934","state",7.38,0,1,492,1459967629933678336,1459967610173,"2"
2,1,"2016-04-06 11:33:49.934","state",5.58,1,2,744,1459967629933678336,1459967610173,"2"
2,1,"2016-04-06 11:33:56.639","state",7.38,0,1,492,1459967636638757376,1459967616877,"2"
2,1,"2016-04-06 11:33:56.639","state",6.96,1,2,928,1459967636638757376,1459967616877,"2"
2,1,"2016-04-06 11:34:03.477","state",7.38,0,1,492,1459967643477106176,1459967623716,"2"
2,1,"2016-04-06 11:34:03.477","state",4.5,1,2,600,1459967643477106176,1459967623716,"2"
