Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1460066510961453026,1460066146119,__set_config__,
0,0,admin,1460066512312032179,1460066507350,__page_loaded__,
0,0,2,1460066513118300129,0,__register__,"{""user_id"": ""2""}"
0,1,2,1460066513281746078,1460066508320,__set_group__,"{""group"": 1}"
0,0,2,1460066513286745552,1460066508324,__page_loaded__,
0,0,1,1460066514117892640,0,__register__,"{""user_id"": ""1""}"
0,1,1,1460066514298257170,1460066509324,__set_group__,"{""group"": 1}"
0,1,2,1460066514298644445,1460066509324,__set_group__,"{""group"": 1}"
0,0,1,1460066514312875581,1460066509351,__page_loaded__,
0,0,4,1460066514462040481,0,__register__,"{""user_id"": ""4""}"
0,1,1,1460066514631470156,1460066509665,__set_group__,"{""group"": 1}"
0,1,2,1460066514631949835,1460066509665,__set_group__,"{""group"": 1}"
0,1,4,1460066514632355730,1460066509665,__set_group__,"{""group"": 1}"
0,0,4,1460066514641360638,1460066509678,__page_loaded__,
0,0,3,1460066514801623925,0,__register__,"{""user_id"": ""3""}"
0,1,1,1460066514968741708,1460066510003,__set_group__,"{""group"": 1}"
0,1,2,1460066514969072857,1460066510003,__set_group__,"{""group"": 1}"
0,1,3,1460066514969436511,1460066510003,__set_group__,"{""group"": 1}"
0,1,4,1460066514969777355,1460066510003,__set_group__,"{""group"": 1}"
0,0,3,1460066514974893206,1460066510011,__page_loaded__,
0,0,admin,1460066516035577863,1460066511074,start_session,
0,0,1,1460066516200125457,1460066511238,__set_period__,"{""period"": 0}"
0,0,2,1460066516200575782,1460066511238,__set_period__,"{""period"": 0}"
0,0,3,1460066516205594130,1460066511238,__set_period__,"{""period"": 0}"
0,0,4,1460066516205945683,1460066511238,__set_period__,"{""period"": 0}"
0,0,1,1460066516364501725,1460066511402,__set_page__,"{""page"": ""Wait""}"
0,0,2,1460066516369698115,1460066511403,__set_page__,"{""page"": ""Wait""}"
0,0,3,1460066516376135052,1460066511407,__set_page__,"{""page"": ""Wait""}"
0,0,4,1460066516376494170,1460066511408,__set_page__,"{""page"": ""Wait""}"
0,0,4,1460066518221166266,1460066513256,__page_loaded__,
0,0,3,1460066518570535483,1460066513605,__page_loaded__,
0,0,2,1460066518904598641,1460066513940,__page_loaded__,
0,0,1,1460066519457832847,1460066514494,__page_loaded__,
0,1,4,1460066519623052375,1460066514659,_at_barrier,_on_load_0
0,1,2,1460066519623341100,1460066514660,_at_barrier,_on_load_0
0,1,3,1460066519623613248,1460066514659,_at_barrier,_on_load_0
0,1,1,1460066519623853523,1460066514660,_at_barrier,_on_load_0
0,0,4,1460066519801624254,1460066514833,_next_period,
0,0,2,1460066519959068671,1460066514995,_next_period,
