Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1453279077940190007,1453195721001,__set_config__,
0,0,admin,1453279079971182235,1453279079928,__page_loaded__,
0,0,3,1453279080824845491,0,__register__,"{""user_id"": ""3""}"
0,1,3,1453279080841975302,1453279080844,__set_group__,"{""group"": 1}"
0,0,3,1453279080857951165,1453279080857,__page_loaded__,
0,0,1,1453279080882376834,0,__register__,"{""user_id"": ""1""}"
0,1,1,1453279080936557953,1453279080927,__set_group__,"{""group"": 1}"
0,1,3,1453279080937040908,1453279080928,__set_group__,"{""group"": 1}"
0,0,1,1453279080948340269,1453279080939,__page_loaded__,
0,0,2,1453279080986419948,0,__register__,"{""user_id"": ""2""}"
0,1,1,1453279081007699501,1453279081008,__set_group__,"{""group"": 1}"
0,1,2,1453279081013836218,1453279081008,__set_group__,"{""group"": 1}"
0,1,3,1453279081014012831,1453279081008,__set_group__,"{""group"": 1}"
0,0,2,1453279081024308586,1453279081022,__page_loaded__,
0,0,4,1453279083804149328,0,__register__,"{""user_id"": ""4""}"
0,1,1,1453279083839806596,1453279083834,__set_group__,"{""group"": 1}"
0,1,2,1453279083840224594,1453279083834,__set_group__,"{""group"": 1}"
0,1,3,1453279083840617869,1453279083834,__set_group__,"{""group"": 1}"
0,1,4,1453279083841037090,1453279083834,__set_group__,"{""group"": 1}"
0,0,4,1453279083862600868,1453279083864,__page_loaded__,
0,0,admin,1453279084883718785,1453279084883,start_session,
0,0,1,1453279084901902858,1453279084902,__set_period__,"{""period"": 0}"
0,0,2,1453279084906917317,1453279084902,__set_period__,"{""period"": 0}"
0,0,3,1453279084907101343,1453279084902,__set_period__,"{""period"": 0}"
0,0,4,1453279084907295219,1453279084903,__set_period__,"{""period"": 0}"
0,0,1,1453279084955069879,1453279084947,__set_page__,"{""page"": ""Wait""}"
0,0,2,1453279084965305851,1453279084950,__set_page__,"{""page"": ""Wait""}"
0,0,4,1453279084969878404,1453279084950,__set_page__,"{""page"": ""Wait""}"
0,0,3,1453279084994138966,1453279084953,__set_page__,"{""page"": ""Wait""}"
0,0,2,1453279086887406969,1453279086887,__page_loaded__,
0,0,3,1453279087009994740,1453279087002,__page_loaded__,
0,0,1,1453279087078964842,1453279087075,__page_loaded__,
0,0,4,1453279087174780224,1453279087169,__page_loaded__,
0,1,4,1453279087194084373,1453279087195,_at_barrier,_on_load_0
0,1,1,1453279087194249117,1453279087192,_at_barrier,_on_load_0
0,1,3,1453279087194385612,1453279087195,_at_barrier,_on_load_0
0,1,2,1453279087258925169,1453279087196,_at_barrier,_on_load_0
0,0,2,1453279087804822391,1453279087800,_next_period,
0,0,1,1453279087805198566,1453279087787,_next_period,
0,0,4,1453279087811078847,1453279087811,_next_period,
0,1,2,1453279087831596988,1453279087827,_accumulated_points,0
1,0,2,1453279087831974346,1453279087828,__set_period__,"{""period"": 1}"
0,1,1,1453279087832395951,1453279087825,_accumulated_points,0
1,0,1,1453279087832602175,1453279087825,__set_period__,"{""period"": 1}"
0,0,3,1453279087833036693,1453279087829,_next_period,
0,1,4,1453279087842097869,1453279087839,_accumulated_points,0
1,0,4,1453279087842289722,1453279087840,__set_period__,"{""period"": 1}"
1,0,2,1453279087857189051,1453279087859,__set_page__,"{""page"": ""Start""}"
0,1,3,1453279087871942624,1453279087867,_accumulated_points,0
1,0,3,1453279087872222906,1453279087868,__set_period__,"{""period"": 1}"
1,0,1,1453279087872877342,1453279087870,__set_page__,"{""page"": ""Start""}"
1,0,4,1453279087873265760,1453279087871,__set_page__,"{""page"": ""Start""}"
1,0,3,1453279087895585693,1453279087895,__set_page__,"{""page"": ""Start""}"
1,0,4,1453279090894697007,1453279090893,__page_loaded__,
1,0,1,1453279090959808799,1453279090960,__page_loaded__,
1,0,3,1453279091029949718,1453279091033,__page_loaded__,
1,0,2,1453279091106597487,1453279091107,__page_loaded__,
0,0,1,1453279091126096588,1453279091124,vm.allocation,
1,1,1,1453279091126215812,1453279091124,_at_barrier,_on_load_1
0,0,3,1453279091126343300,1453279091126,vm.allocation,
0,0,2,1453279091130860128,1453279091127,vm.allocation,
1,1,2,1453279091130994355,1453279091128,_at_barrier,_on_load_1
0,0,4,1453279091131098625,1453279091126,vm.allocation,
1,1,4,1453279091131197054,1453279091127,_at_barrier,_on_load_1
1,1,3,1453279091131292995,1453279091126,_at_barrier,_on_load_1
1,1,3,1453279091158344413,1453279091161,__paused__,"{""period"": 1}"
1,1,4,1453279091158507425,1453279091159,__paused__,"{""period"": 1}"
1,1,2,1453279091163561889,1453279091162,__paused__,"{""period"": 1}"
1,1,1,1453279091169064493,1453279091167,__paused__,"{""period"": 1}"
0,0,admin,1453279092068430341,1453279092067,resume,
0,1,1,1453279092088012970,1453279092088,__resume__,"{""period"": 1}"
0,1,2,1453279092088272518,1453279092088,__resume__,"{""period"": 1}"
0,1,3,1453279092088535600,1453279092088,__resume__,"{""period"": 1}"
0,1,4,1453279092088815396,1453279092089,__resume__,"{""period"": 1}"
1,1,2,1453279092109236082,1453279092113,next_round,
1,1,2,1453279092113897847,1453279092113,__resumed__,"{""period"": 1}"
1,1,3,1453279092153511872,1453279092121,next_round,
1,1,4,1453279092153772074,1453279092115,next_round,
1,1,4,1453279092153993789,1453279092115,__resumed__,"{""period"": 1}"
1,1,1,1453279092158755337,1453279092122,next_round,
1,1,1,1453279092159015539,1453279092122,__resumed__,"{""period"": 1}"
1,1,3,1453279092159282781,1453279092121,__resumed__,"{""period"": 1}"
