Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1460142275640743663,1460139400013,__set_config__,
0,0,admin,1460142279785294530,1460142246937,__page_loaded__,
0,0,10,1460142280656578254,0,__register__,"{""user_id"": ""10""}"
0,1,10,1460142280749113639,1460142247893,__set_group__,"{""group"": 1}"
0,0,10,1460142280775413210,1460142247923,__page_loaded__,
0,0,4,1460142280835345893,0,__register__,"{""user_id"": ""4""}"
0,1,4,1460142280924061654,1460142248072,__set_group__,"{""group"": 1}"
0,1,10,1460142280924405449,1460142248072,__set_group__,"{""group"": 1}"
0,0,4,1460142280950412328,1460142248101,__page_loaded__,
0,0,5,1460142281637590771,0,__register__,"{""user_id"": ""5""}"
0,1,4,1460142281739396856,1460142248878,__set_group__,"{""group"": 1}"
0,1,5,1460142281739787909,1460142248878,__set_group__,"{""group"": 1}"
0,1,10,1460142281740132469,1460142248878,__set_group__,"{""group"": 1}"
0,0,5,1460142281752564468,1460142248904,__page_loaded__,
0,0,6,1460142281829634981,0,__register__,"{""user_id"": ""6""}"
0,1,4,1460142281927242996,1460142249071,__set_group__,"{""group"": 1}"
0,1,5,1460142281927617816,1460142249071,__set_group__,"{""group"": 1}"
0,1,6,1460142281927950927,1460142249071,__set_group__,"{""group"": 1}"
0,1,10,1460142281928317662,1460142249071,__set_group__,"{""group"": 1}"
0,0,6,1460142281999919427,1460142249150,__page_loaded__,
0,0,12,1460142282022124709,0,__register__,"{""user_id"": ""12""}"
0,1,4,1460142282110455857,1460142249263,__set_group__,"{""group"": 1}"
0,1,5,1460142282110819820,1460142249263,__set_group__,"{""group"": 1}"
0,1,6,1460142282111136463,1460142249263,__set_group__,"{""group"": 1}"
0,1,10,1460142282111431715,1460142249263,__set_group__,"{""group"": 1}"
0,1,12,1460142282111716530,1460142249263,__set_group__,"{""group"": 1}"
0,0,12,1460142282196443060,1460142249344,__page_loaded__,
0,0,7,1460142282931088880,0,__register__,"{""user_id"": ""7""}"
0,1,4,1460142283023295698,1460142250174,__set_group__,"{""group"": 1}"
0,1,5,1460142283023634919,1460142250174,__set_group__,"{""group"": 1}"
0,1,6,1460142283023994679,1460142250174,__set_group__,"{""group"": 1}"
0,1,7,1460142283027729309,1460142250174,__set_group__,"{""group"": 1}"
0,1,10,1460142283028041138,1460142250174,__set_group__,"{""group"": 1}"
0,1,12,1460142283028343839,1460142250174,__set_group__,"{""group"": 1}"
0,0,11,1460142283101011419,0,__register__,"{""user_id"": ""11""}"
0,0,7,1460142283117925550,1460142250258,__page_loaded__,
0,1,4,1460142283194057560,1460142250344,__set_group__,"{""group"": 1}"
0,1,5,1460142283194398635,1460142250344,__set_group__,"{""group"": 1}"
0,1,6,1460142283194689701,1460142250344,__set_group__,"{""group"": 1}"
0,1,7,1460142283194994827,1460142250344,__set_group__,"{""group"": 1}"
0,1,10,1460142283195284812,1460142250344,__set_group__,"{""group"": 1}"
0,1,11,1460142283195576449,1460142250344,__set_group__,"{""group"": 1}"
0,1,12,1460142283195881383,1460142250344,__set_group__,"{""group"": 1}"
0,0,11,1460142283267132034,1460142250416,__page_loaded__,
0,0,2,1460142283271807919,0,__register__,"{""user_id"": ""2""}"
0,1,2,1460142283373376641,1460142250513,__set_group__,"{""group"": 1}"
0,1,4,1460142283373701130,1460142250513,__set_group__,"{""group"": 1}"
0,1,5,1460142283374001760,1460142250513,__set_group__,"{""group"": 1}"
0,1,6,1460142283374309526,1460142250513,__set_group__,"{""group"": 1}"
0,1,7,1460142283374614943,1460142250513,__set_group__,"{""group"": 1}"
0,1,10,1460142283374939418,1460142250513,__set_group__,"{""group"": 1}"
0,1,11,1460142283375236538,1460142250513,__set_group__,"{""group"": 1}"
0,1,12,1460142283375563350,1460142250513,__set_group__,"{""group"": 1}"
0,0,2,1460142283438503063,1460142250589,__page_loaded__,
0,0,1,1460142283458601093,0,__register__,"{""user_id"": ""1""}"
0,1,1,1460142283552964331,1460142250702,__set_group__,"{""group"": 1}"
0,1,2,1460142283553290445,1460142250702,__set_group__,"{""group"": 1}"
0,1,4,1460142283553609060,1460142250702,__set_group__,"{""group"": 1}"
0,1,5,1460142283553923151,1460142250702,__set_group__,"{""group"": 1}"
0,1,6,1460142283554238959,1460142250702,__set_group__,"{""group"": 1}"
0,1,7,1460142283554542158,1460142250702,__set_group__,"{""group"": 1}"
0,1,10,1460142283554838363,1460142250702,__set_group__,"{""group"": 1}"
0,1,11,1460142283555163669,1460142250702,__set_group__,"{""group"": 1}"
0,1,12,1460142283555462667,1460142250702,__set_group__,"{""group"": 1}"
0,0,1,1460142283625084151,1460142250777,__page_loaded__,
0,0,3,1460142283664106986,0,__register__,"{""user_id"": ""3""}"
0,1,1,1460142283753057989,1460142250904,__set_group__,"{""group"": 1}"
0,1,2,1460142283753386840,1460142250904,__set_group__,"{""group"": 1}"
0,1,3,1460142283753709080,1460142250904,__set_group__,"{""group"": 1}"
0,1,4,1460142283754035705,1460142250904,__set_group__,"{""group"": 1}"
0,1,5,1460142283754364542,1460142250904,__set_group__,"{""group"": 1}"
0,1,6,1460142283754662700,1460142250904,__set_group__,"{""group"": 1}"
0,1,7,1460142283754970161,1460142250904,__set_group__,"{""group"": 1}"
0,1,10,1460142283755310027,1460142250904,__set_group__,"{""group"": 1}"
0,1,11,1460142283755617860,1460142250904,__set_group__,"{""group"": 1}"
0,1,12,1460142283755930829,1460142250904,__set_group__,"{""group"": 1}"
0,0,3,1460142283856055377,1460142250995,__page_loaded__,
0,0,8,1460142283856263245,0,__register__,"{""user_id"": ""8""}"
0,1,1,1460142283949305687,1460142251099,__set_group__,"{""group"": 1}"
0,1,2,1460142283949857826,1460142251099,__set_group__,"{""group"": 1}"
0,1,3,1460142283950170747,1460142251099,__set_group__,"{""group"": 1}"
0,1,4,1460142283950516382,1460142251099,__set_group__,"{""group"": 1}"
