"Period","Group","Sender","datetime","Time","ClientTime","Key","action","action_owntype","action_partnertype","exit","repeataction_owntype","repeataction_partnertype"
1,1,"1","2016-04-08 12:05:17.918",1460142317918298624,1460142285067,"action","2",NA,NA,NA,NA,NA
1,1,"1","2016-04-08 12:05:17.919",1460142317918512896,1460142285067,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"1","2016-04-08 12:05:17.919",1460142317918773248,1460142285067,"action_partnertype",NA,NA,"3",NA,NA,NA
1,1,"2","2016-04-08 12:05:18.998",1460142318998380288,1460142286147,"action","1",NA,NA,NA,NA,NA
1,1,"2","2016-04-08 12:05:18.999",1460142318998609152,1460142286148,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"2","2016-04-08 12:05:18.999",1460142318998853632,1460142286148,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"3","2016-04-08 12:05:20.334",1460142320334092800,1460142287479,"action","1",NA,NA,NA,NA,NA
1,1,"3","2016-04-08 12:05:20.334",1460142320334290432,1460142287480,"action_owntype",NA,"2",NA,NA,NA,NA
1,1,"3","2016-04-08 12:05:20.335",1460142320334517760,1460142287480,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"4","2016-04-08 12:05:21.887",1460142321887256320,1460142289036,"action","1",NA,NA,NA,NA,NA
1,1,"4","2016-04-08 12:05:21.888",1460142321887599872,1460142289037,"action_owntype",NA,"1",NA,NA,NA,NA
1,1,"4","2016-04-08 12:05:21.888",1460142321887834880,1460142289037,"action_partnertype",NA,NA,"2",NA,NA,NA
1,1,"5","2016-04-08 12:05:23.053",1460142323053276672,1460142290199,"action","2",NA,NA,NA,NA,NA
1,1,"5","2016-04-08 12:05:23.054",1460142323053558016,1460142290199,"action_owntype",NA,"1",NA,NA,NA,NA
1,1,"5","2016-04-08 12:05:23.054",1460142323053781248,1460142290199,"action_partnertype",NA,NA,"3",NA,NA,NA
1,1,"6","2016-04-08 12:05:24.445",1460142324445388544,1460142291590,"action","1",NA,NA,NA,NA,NA
1,1,"6","2016-04-08 12:05:24.446",1460142324445600256,1460142291590,"action_owntype",NA,"1",NA,NA,NA,NA
1,1,"6","2016-04-08 12:05:24.446",1460142324445843712,1460142291590,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"7","2016-04-08 12:05:25.681",1460142325681313536,1460142292828,"action","1",NA,NA,NA,NA,NA
1,1,"7","2016-04-08 12:05:25.682",1460142325681544448,1460142292828,"action_owntype",NA,"2",NA,NA,NA,NA
1,1,"7","2016-04-08 12:05:25.682",1460142325681774336,1460142292828,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"8","2016-04-08 12:05:27.738",1460142327738152192,1460142294884,"action","1",NA,NA,NA,NA,NA
1,1,"8","2016-04-08 12:05:27.738",1460142327738386432,1460142294884,"action_owntype",NA,"3",NA,NA,NA,NA
1,1,"8","2016-04-08 12:05:27.739",1460142327738634752,1460142294884,"action_partnertype",NA,NA,"1",NA,NA,NA
1,1,"9","2016-04-08 12:05:28.903",1460142328903422464,1460142296050,"action","1",NA,NA,NA,NA,NA
1,1,"9","2016-04-08 12:05:28.904",1460142328903652096,1460142296050,"action_owntype",NA,"1",NA,NA,NA,NA
