"","Period","Group","Sender","datetime","Time","ClientTime","Key","action","action_owntype","action_partnerid","action_partnertype","action_round","exit","repeataction_owntype","repeataction_partnerid","repeataction_partnertype","strategy.1","strategy.2","strategy.3","strategy.4","strategy.5","strategy.6","strategy.7","strategy.8","strategy.9"
"1",1,1,"1","2016-04-26 07:16:59.952",1461680219952412672,1461680252471,"action","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,1,"1","2016-04-26 07:16:59.953",1461680219952682496,1461680252472,"action_round",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,1,"1","2016-04-26 07:16:59.953",1.461680219953e+18,1461680252472,"action_owntype",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,1,"1","2016-04-26 07:16:59.953",1461680219953271552,1461680252472,"action_partnertype",NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,1,"1","2016-04-26 07:16:59.957",1461680219957432832,1461680252472,"action_partnerid",NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1,1,"24","2016-04-26 07:17:00.093",1461680220093120256,1461680252611,"action","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,1,"24","2016-04-26 07:17:00.093",1461680220093320448,1461680252611,"action_round",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,1,"24","2016-04-26 07:17:00.094",1461680220093648128,1461680252611,"action_owntype",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1,1,"24","2016-04-26 07:17:00.094",1461680220093891328,1461680252611,"action_partnertype",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,1,"15","2016-04-26 07:17:00.094",1461680220094136832,1461680252616,"action","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,1,"15","2016-04-26 07:17:00.094",1461680220094396160,1461680252616,"action_round",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,1,"24","2016-04-26 07:17:00.095",1461680220094640896,1461680252611,"action_partnerid",NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1,1,"15","2016-04-26 07:17:00.098",1461680220097682432,1461680252616,"action_owntype",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,1,"15","2016-04-26 07:17:00.098",1461680220097844480,1461680252616,"action_partnertype",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
