Period,Group,Sender,Time,ClientTime,Key,Value
0,0,admin,1461963492278779892,1461963524756,__set_config__,
0,0,1,1461963516540647211,0,__register__,"{""user_id"": ""1""}"
0,0,10,1461963516717343686,0,__register__,"{""user_id"": ""10""}"
0,0,5,1461963516899940212,0,__register__,"{""user_id"": ""5""}"
0,0,22,1461963517130961769,0,__register__,"{""user_id"": ""22""}"
0,0,23,1461963517332415676,0,__register__,"{""user_id"": ""23""}"
0,0,admin,1461963517369485941,1461963553084,__page_loaded__,
0,1,1,1461963517469006089,1461963553183,__set_group__,"{""group"": 1}"
0,0,1,1461963517486117915,1461963553202,__page_loaded__,
0,0,25,1461963517501835423,0,__register__,"{""user_id"": ""25""}"
0,1,1,1461963517534577473,1461963553249,__set_group__,"{""group"": 1}"
0,1,10,1461963517534896140,1461963553249,__set_group__,"{""group"": 1}"
0,0,10,1461963517551039874,1461963553269,__page_loaded__,
0,1,1,1461963517633781316,1461963553342,__set_group__,"{""group"": 1}"
0,1,5,1461963517634108739,1461963553342,__set_group__,"{""group"": 1}"
0,1,10,1461963517634431296,1461963553342,__set_group__,"{""group"": 1}"
0,0,4,1461963517671275180,0,__register__,"{""user_id"": ""4""}"
0,0,5,1461963517758620806,1461963553471,__page_loaded__,
0,1,1,1461963517798956932,1461963553516,__set_group__,"{""group"": 1}"
0,1,5,1461963517799256580,1461963553516,__set_group__,"{""group"": 1}"
0,1,10,1461963517799551018,1461963553516,__set_group__,"{""group"": 1}"
0,1,22,1461963517799859496,1461963553516,__set_group__,"{""group"": 1}"
0,0,44,1461963517849347233,0,__register__,"{""user_id"": ""44""}"
0,0,22,1461963517874209473,1461963553589,__page_loaded__,
0,0,38,1461963518022051049,0,__register__,"{""user_id"": ""38""}"
0,0,48,1461963518196135520,0,__register__,"{""user_id"": ""48""}"
0,0,41,1461963518369094454,0,__register__,"{""user_id"": ""41""}"
0,0,27,1461963518537233058,0,__register__,"{""user_id"": ""27""}"
0,0,17,1461963518711422956,0,__register__,"{""user_id"": ""17""}"
0,0,42,1461963518885693757,0,__register__,"{""user_id"": ""42""}"
0,0,30,1461963519075103014,0,__register__,"{""user_id"": ""30""}"
0,0,40,1461963519256805853,0,__register__,"{""user_id"": ""40""}"
0,0,20,1461963519434844870,0,__register__,"{""user_id"": ""20""}"
0,0,3,1461963519607405502,0,__register__,"{""user_id"": ""3""}"
0,1,1,1461963519607685427,1461963555317,__set_group__,"{""group"": 1}"
0,1,5,1461963519608122476,1461963555317,__set_group__,"{""group"": 1}"
0,1,10,1461963519609514937,1461963555317,__set_group__,"{""group"": 1}"
0,1,22,1461963519609826858,1461963555317,__set_group__,"{""group"": 1}"
0,1,23,1461963519610119360,1461963555317,__set_group__,"{""group"": 1}"
0,1,1,1461963519665251487,1461963555380,__set_group__,"{""group"": 1}"
0,1,5,1461963519665591773,1461963555380,__set_group__,"{""group"": 1}"
0,1,10,1461963519665924597,1461963555380,__set_group__,"{""group"": 1}"
0,1,22,1461963519666222834,1461963555380,__set_group__,"{""group"": 1}"
0,1,23,1461963519666534697,1461963555380,__set_group__,"{""group"": 1}"
0,0,23,1461963519669318763,1461963555383,__page_loaded__,
0,1,1,1461963519677939168,1461963555391,__set_group__,"{""group"": 1}"
0,1,5,1461963519678255652,1461963555391,__set_group__,"{""group"": 1}"
0,1,10,1461963519678557611,1461963555391,__set_group__,"{""group"": 1}"
0,1,22,1461963519678820625,1461963555392,__set_group__,"{""group"": 1}"
0,1,23,1461963519679116250,1461963555392,__set_group__,"{""group"": 1}"
0,1,25,1461963519679407183,1461963555392,__set_group__,"{""group"": 1}"
0,0,25,1461963519718938720,1461963555434,__page_loaded__,
