Period,Sender,Round,x,y,Price,Ex,Ey
56,1,1,61.37272727,60.64481818,1.57,100,0
56,2,1,30.88363636,27.51269091,1.57,0,76
56,3,1,61.94363636,59.74849091,1.57,100,0
56,4,1,30.95272727,27.40421818,1.57,0,76
56,5,1,61.37272727,60.64481818,1.57,100,0
56,6,1,28.81090909,30.76687273,1.57,0,76
56,7,1,58.23272727,65.57461818,1.57,100,0
56,10,1,25.42545455,36.08203636,1.57,0,76
56,1,2,58.59272727,54.24352727,1.31,100,0
56,2,2,32.26545455,33.73225455,1.31,0,76
56,3,2,56.44909091,57.05169091,1.31,100,0
56,4,2,33.85454545,31.65054545,1.31,0,76
56,5,2,56.92545455,56.42765455,1.31,100,0
56,6,2,32.81818182,33.00818182,1.31,0,76
56,7,2,48.58909091,67.34829091,1.31,100,0
56,10,2,0,76,1.31,0,76
56,1,3,53.09090909,46.90909091,1,100,0
56,2,3,39.03636364,36.96363636,1,0,76
56,3,3,52.18181818,47.81818182,1,100,0
56,4,3,38.27636364,37.72363636,1,0,76
56,5,3,50.36363636,49.63636364,1,100,0
56,6,3,33.09454545,42.90545455,1,0,76
56,7,3,47.09090909,52.90909091,1,100,0
56,10,3,27.08363636,48.91636364,1,0,76
56,1,4,45.09090909,45.57454545,0.83,100,0
56,2,4,41.03833516,41.93818182,0.83,0,76
56,3,4,44.72727273,45.87636364,0.83,100,0
56,4,4,41.62102957,41.45454545,0.83,0,76
56,5,4,45.27272727,45.42363636,0.83,100,0
56,6,4,45.36692223,38.34545455,0.83,0,76
56,7,4,48.18181818,43.00909091,0.83,100,0
56,10,4,0,76,0.83,0,76
56,1,5,38.90909091,39.09818182,0.64,100,0
56,2,5,46.52840909,46.22181818,0.64,0,76
56,3,5,39.63636364,38.63272727,0.64,100,0
56,4,5,46.85227273,46.01454545,0.64,0,76
56,5,5,39.27272727,38.86545455,0.64,100,0
56,6,5,51.49431818,43.04363636,0.64,0,76
56,7,5,45.45454545,34.90909091,0.64,100,0
56,10,5,59.375,38,0.64,0,76
56,1,6,36.18181818,36.37636364,0.57,100,0
56,2,6,48.60606061,48.29454545,0.57,0,76
56,3,6,36,36.48,0.57,100,0
56,4,6,48.72727273,48.22545455,0.57,0,76
56,5,6,36.18181818,36.37636364,0.57,100,0
56,6,6,51.75757576,46.49818182,0.57,0,76
56,7,6,42.18181818,32.95636364,0.57,100,0
56,10,6,68.12121212,37.17090909,0.57,0,76
56,1,7,33.09090909,33.45454545,0.5,100,0
56,2,7,50.16,50.92,0.5,0,76
56,3,7,33.63636364,33.18181818,0.5,100,0
56,4,7,50.02181818,50.98909091,0.5,0,76
56,5,7,36.36363636,31.81818182,0.5,100,0
56,6,7,62.04363636,44.97818182,0.5,0,76
56,7,7,45.45454545,27.27272727,0.5,100,0
56,10,7,83.46181818,34.26909091,0.5,0,76
56,1,8,29.27272727,30.41272727,0.43,100,0
56,2,8,53.50528541,52.99272727,0.43,0,76
56,3,8,30.18181818,30.02181818,0.43,100,0
56,4,8,52.70190275,53.33818182,0.43,0,76
56,5,8,34.90909091,27.98909091,0.43,100,0
56,6,8,63.78858351,48.57090909,0.43,0,76
56,7,8,39.27272727,26.11272727,0.43,100,0
56,10,8,76.4820296,43.11272727,0.43,0,76
56,1,9,26,26.64,0.36,100,0
56,2,9,55.84848485,55.89454545,0.36,0,76
56,3,9,26,26.64,0.36,100,0
56,4,9,55.65656566,55.96363636,0.36,0,76
56,5,9,26.90909091,26.31272727,0.36,100,0
56,6,9,66.97979798,51.88727273,0.36,0,76
56,7,9,34.90909091,23.43272727,0.36,100,0
56,10,9,117.4545455,33.71636364,0.36,0,76
