"Period","Sender","Round","x","y","Price","Ex","Ey"
1,"1",1,53.9509090909091,72.2970727272727,"1.57","100","0"
1,"10",1,52.2381818181818,74.9860545454546,"1.57","100","0"
1,"11",1,53.2372727272727,73.4174818181818,"1.57","100","0"
1,"12",1,52.6663636363636,74.3138090909091,"1.57","100","0"
1,"13",1,57.3763636363636,66.9191090909091,"1.57","100","0"
1,"14",1,51.3818181818182,76.3305454545455,"1.57","100","0"
1,"15",1,41.3909090909091,92.0162727272727,"1.57","100","0"
1,"16",1,37.8227272727273,97.6183181818182,"1.57","100","0"
1,"17",1,32.8272727272727,105.461181818182,"1.57","100","0"
1,"18",1,100,0,"1.57","100","0"
1,"19",1,15.1290909090909,133.247327272727,"1.57","100","0"
1,"2",1,55.2354545454545,70.2803363636364,"1.57","100","0"
1,"20",1,3.14,152.0702,"1.57","100","0"
1,"3",1,53.0945454545455,73.6415636363636,"1.57","100","0"
1,"4",1,49.0981818181818,79.9158545454546,"1.57","100","0"
1,"5",1,53.0945454545455,73.6415636363636,"1.57","100","0"
1,"6",1,59.8027272727273,63.1097181818182,"1.57","100","0"
1,"7",1,48.5272727272727,80.8121818181818,"1.57","100","0"
1,"8",1,51.3818181818182,76.3305454545455,"1.57","100","0"
1,"9",1,54.5218181818182,71.4007454545455,"1.57","100","0"
10,"1",1,82.7272727272727,86.3636363636363,"5","100","0"
10,"10",1,10.2254545454545,24.8727272727273,"5","0","76"
10,"11",1,58.6363636363636,206.818181818182,"5","100","0"
10,"12",1,9.32727272727273,29.3636363636364,"5","0","76"
10,"13",1,63.6363636363636,181.818181818182,"5","100","0"
10,"14",1,7.18545454545455,40.0727272727273,"5","0","76"
10,"15",1,46.3636363636364,268.181818181818,"5","100","0"
10,"16",1,6.70181818181818,42.4909090909091,"5","0","76"
10,"17",1,40.9090909090909,295.454545454545,"5","100","0"
10,"18",1,3.86909090909091,56.6545454545455,"5","0","76"
10,"19",1,7.27272727272727,463.636363636364,"5","100","0"
10,"2",1,12.0909090909091,15.5454545454545,"5","0","76"
10,"20",1,0,76,"5","0","76"
10,"3",1,74.5454545454545,127.272727272727,"5","100","0"
10,"4",1,9.53454545454546,28.3272727272727,"5","0","76"
10,"5",1,66.3636363636364,168.181818181818,"5","100","0"
10,"6",1,9.74181818181818,27.2909090909091,"5","0","76"
10,"7",1,56.3636363636364,218.181818181818,"5","100","0"
10,"8",1,10.3636363636364,24.1818181818182,"5","0","76"
10,"9",1,69.0909090909091,154.545454545455,"5","100","0"
11,"1",1,67.2727272727273,65.4545454545455,"2","100","0"
11,"10",1,20.4509090909091,35.0981818181818,"2","0","76"
11,"11",1,52.1818181818182,95.6363636363636,"2","100","0"
11,"12",1,19.6909090909091,36.6181818181818,"2","0","76"
11,"13",1,36.7272727272727,126.545454545455,"2","100","0"
11,"14",1,12.5745454545455,50.8509090909091,"2","0","76"
11,"15",1,29.4545454545455,141.090909090909,"2","100","0"
11,"16",1,11.4,53.2,"2","0","76"
11,"17",1,36.7272727272727,126.545454545455,"2","100","0"
11,"18",1,10.5018181818182,54.9963636363636,"2","0","76"
11,"19",1,26.9090909090909,146.181818181818,"2","100","0"
11,"2",1,26.1854545454545,23.6290909090909,"2","0","76"
11,"20",1,0,76,"2","0","76"
11,"3",1,71.2727272727273,57.4545454545454,"2","100","0"
11,"4",1,28.6036363636364,18.7927272727273,"2","0","76"
11,"5",1,69.4545454545455,61.0909090909091,"2","100","0"
11,"6",1,25.7709090909091,24.4581818181818,"2","0","76"
11,"7",1,65.4545454545455,69.0909090909091,"2","100","0"
11,"8",1,22.5236363636364,30.9527272727273,"2","0","76"
11,"9",1,61.8181818181818,76.3636363636364,"2","100","0"
12,"1",1,39.4545454545455,42.3818181818182,"0.7","100","0"
12,"1",1,39.4545454545455,42.3818181818182,"0.7","100","0"
12,"10",1,0,76,"0.7","0","76"
12,"11",1,100,0,"0.7","100","0"
12,"12",1,0,76,"0.7","0","76"
12,"13",1,100,0,"0.7","100","0"
12,"14",1,0,76,"0.7","0","76"
12,"15",1,100,0,"0.7","100","0"
12,"16",1,0,76,"0.7","0","76"
12,"17",1,100,0,"0.7","100","0"
12,"18",1,0,76,"0.7","0","76"
12,"19",1,100,0,"0.7","100","0"
12,"2",1,39.3818181818182,48.4327272727273,"0.7","0","76"
12,"2",1,39.3818181818182,48.4327272727273,"0.7","0","76"
12,"20",1,0,76,"0.7","0","76"
12,"3",1,32,47.6,"0.7","100","0"
12,"3",1,32,47.6,"0.7","100","0"
12,"4",1,37.7038961038961,49.6072727272727,"0.7","0","76"
12,"4",1,37.7038961038961,49.6072727272727,"0.7","0","76"
12,"5",1,32,47.6,"0.7","100","0"
12,"5",1,32,47.6,"0.7","100","0"
12,"6",1,39.3818181818182,48.4327272727273,"0.7","0","76"
12,"6",1,39.3818181818182,48.4327272727273,"0.7","0","76"
12,"7",1,100,0,"0.7","100","0"
12,"8",1,0,76,"0.7","0","76"
12,"9",1,100,0,"0.7","100","0"
13,"1",1,100,0,"1.43","100","0"
13,"10",1,0,76,"1.43","0","76"
13,"11",1,100,0,"1.43","100","0"
13,"12",1,0,76,"1.43","0","76"
13,"13",1,100,0,"1.43","100","0"
13,"14",1,0,76,"1.43","0","76"
13,"15",1,100,0,"1.43","100","0"
13,"16",1,0,76,"1.43","0","76"
13,"17",1,100,0,"1.43","100","0"
13,"18",1,0,76,"1.43","0","76"
13,"19",1,100,0,"1.43","100","0"
13,"2",1,0,76,"1.43","0","76"
13,"20",1,0,76,"1.43","0","76"
13,"3",1,100,0,"1.43","100","0"
13,"4",1,0,76,"1.43","0","76"
13,"5",1,100,0,"1.43","100","0"
13,"6",1,0,76,"1.43","0","76"
13,"7",1,100,0,"1.43","100","0"
13,"8",1,0,76,"1.43","0","76"
13,"9",1,100,0,"1.43","100","0"
14,"1",1,72.0381818181818,78.5727090909091,"2.81","100","0"
14,"10",1,15.0618181818182,33.6762909090909,"2.81","0","76"
14,"11",1,58.4990909090909,116.617554545455,"2.81","100","0"
14,"12",1,13.6109090909091,37.7533454545455,"2.81","0","76"
14,"13",1,47.5145454545455,147.484127272727,"2.81","100","0"
14,"14",1,10.0872727272727,47.6547636363636,"2.81","0","76"
14,"15",1,35.7636363636364,180.504181818182,"2.81","100","0"
14,"16",1,7.25454545454545,55.6147272727273,"2.81","0","76"
14,"17",1,27.0781818181818,204.910309090909,"2.81","100","0"
14,"18",1,4.69818181818182,62.7981090909091,"2.81","0","76"
14,"19",1,20.4363636363636,223.573818181818,"2.81","100","0"
14,"2",1,16.9272727272727,28.4343636363636,"2.81","0","76"
14,"20",1,0,76,"2.81","0","76"
14,"3",1,62.3309090909091,105.850145454545,"2.81","100","0"
14,"4",1,17.4109090909091,27.0753454545455,"2.81","0","76"
14,"5",1,64.8854545454545,98.6718727272728,"2.81","100","0"
14,"6",1,17.0654545454545,28.0460727272727,"2.81","0","76"
14,"7",1,67.9509090909091,90.0579454545454,"2.81","100","0"
14,"8",1,16.72,29.0168,"2.81","0","76"
14,"9",1,55.1781818181818,125.949309090909,"2.81","100","0"
15,"1",1,31.6363636363636,38.9672727272727,"0.57","100","0"
15,"10",1,62.5454545454546,40.3490909090909,"0.57","0","76"
15,"11",1,50.0909090909091,28.4481818181818,"0.57","100","0"
15,"12",1,75.7575757575758,32.8181818181818,"0.57","0","76"
15,"13",1,62.5454545454545,21.3490909090909,"0.57","100","0"
15,"14",1,88,25.84,"0.57","0","76"
15,"15",1,71.0909090909091,16.4781818181818,"0.57","100","0"
15,"16",1,102.424242424242,17.6181818181818,"0.57","0","76"
15,"17",1,80.3636363636364,11.1927272727273,"0.57","100","0"
15,"18",1,108.848484848485,13.9563636363636,"0.57","0","76"
15,"19",1,82,10.26,"0.57","100","0"
15,"2",1,44.969696969697,50.3672727272727,"0.57","0","76"
15,"20",1,132.121212121212,0.690909090909102,"0.57","0","76"
15,"3",1,34.1818181818182,37.5163636363636,"0.57","100","0"
15,"4",1,46.3030303030303,49.6072727272727,"0.57","0","76"
15,"5",1,34.7272727272727,37.2054545454545,"0.57","100","0"
15,"6",1,48.3636363636364,48.4327272727273,"0.57","0","76"
15,"7",1,39.8181818181818,34.3036363636364,"0.57","100","0"
15,"8",1,53.8181818181818,45.3236363636364,"0.57","0","76"
15,"9",1,43.6363636363636,32.1272727272727,"0.57","100","0"
16,"1",1,44.1818181818182,46.3290909090909,"0.83","100","0"
16,"10",1,40.1226725082147,42.6981818181818,"0.83","0","76"
16,"11",1,47,43.99,"0.83","100","0"
16,"12",1,41.5377875136911,41.5236363636364,"0.83","0","76"
16,"13",1,46.9090909090909,44.0654545454545,"0.83","100","0"
16,"14",1,45.4501642935378,38.2763636363636,"0.83","0","76"
16,"15",1,62.9090909090909,30.7854545454545,"0.83","100","0"
16,"16",1,59.5180722891566,26.6,"0.83","0","76"
16,"17",1,53.8181818181818,38.3309090909091,"0.83","100","0"
16,"18",1,60.433734939759,25.84,"0.83","0","76"
16,"19",1,73.0909090909091,22.3345454545455,"0.83","100","0"
16,"2",1,37.7086527929901,44.7018181818182,"0.83","0","76"
16,"20",1,87.0711938663746,3.73090909090909,"0.83","0","76"
16,"3",1,41.6363636363636,48.4418181818182,"0.83","100","0"
16,"4",1,34.7951807228916,47.12,"0.83","0","76"
16,"5",1,42.3636363636364,47.8381818181818,"0.83","100","0"
16,"6",1,35.5443592552026,46.4981818181818,"0.83","0","76"
16,"7",1,45.4545454545455,45.2727272727273,"0.83","100","0"
16,"8",1,44.6177437020811,38.9672727272727,"0.83","0","76"
16,"9",1,41.8181818181818,48.2909090909091,"0.83","100","0"
17,"1",1,23.0909090909091,21.5345454545455,"0.28","100","0"
17,"10",1,137.194805194805,37.5854545454545,"0.28","0","76"
17,"11",1,47.5454545454545,14.6872727272727,"0.28","100","0"
17,"12",1,151.25974025974,33.6472727272727,"0.28","0","76"
17,"13",1,50,14,"0.28","100","0"
17,"14",1,135.714285714286,38,"0.28","0","76"
17,"15",1,54.5454545454545,12.7272727272727,"0.28","100","0"
17,"16",1,166.064935064935,29.5018181818182,"0.28","0","76"
17,"17",1,52.9090909090909,13.1854545454545,"0.28","100","0"
17,"18",1,177.168831168831,26.3927272727273,"0.28","0","76"
17,"19",1,71.8181818181818,7.89090909090909,"0.28","100","0"
17,"2",1,66.8701298701299,57.2763636363636,"0.28","0","76"
17,"20",1,248.233766233766,6.49454545454546,"0.28","0","76"
17,"3",1,24,21.28,"0.28","100","0"
17,"4",1,71.0649350649351,56.1018181818182,"0.28","0","76"
17,"5",1,27.2727272727273,20.3636363636364,"0.28","100","0"
17,"6",1,74.7662337662338,55.0654545454545,"0.28","0","76"
17,"7",1,37.0909090909091,17.6145454545455,"0.28","100","0"
17,"8",1,80.9350649350649,53.3381818181818,"0.28","0","76"
17,"9",1,35.2727272727273,18.1236363636364,"0.28","100","0"
18,"1",1,62.6981818181818,86.9132363636364,"2.33","100","0"
18,"10",1,14.5090909090909,42.1938181818182,"2.33","0","76"
18,"11",1,50.6245454545455,115.044809090909,"2.33","100","0"
18,"12",1,13.1963636363636,45.2524727272727,"2.33","0","76"
18,"13",1,43.2109090909091,132.318581818182,"2.33","100","0"
18,"14",1,13.9563636363636,43.4816727272727,"2.33","0","76"
18,"15",1,43.6345454545455,131.331509090909,"2.33","100","0"
18,"16",1,13.4727272727273,44.6085454545454,"2.33","0","76"
18,"17",1,32.62,156.9954,"2.33","100","0"
18,"18",1,14.0945454545455,43.1597090909091,"2.33","0","76"
18,"19",1,32.62,156.9954,"2.33","100","0"
18,"2",1,20.9345454545455,27.2225090909091,"2.33","0","76"
18,"20",1,0,76,"2.33","0","76"
18,"3",1,71.1709090909091,67.1717818181818,"2.33","100","0"
18,"4",1,22.1090909090909,24.4858181818182,"2.33","0","76"
18,"5",1,59.3090909090909,94.8098181818182,"2.33","100","0"
18,"6",1,21.6254545454545,25.6126909090909,"2.33","0","76"
18,"7",1,55.0727272727273,104.680545454545,"2.33","100","0"
18,"8",1,18.24,33.5008,"2.33","0","76"
18,"9",1,52.9545454545455,109.615909090909,"2.33","100","0"
19,"1",1,48.3636363636364,51.6363636363636,"1","100","0"
19,"10",1,39.2436363636364,36.7563636363636,"1","0","76"
19,"11",1,48.2727272727273,51.7272727272727,"1","100","0"
19,"12",1,37.1018181818182,38.8981818181818,"1","0","76"
19,"13",1,43.8181818181818,56.1818181818182,"1","100","0"
19,"14",1,33.3018181818182,42.6981818181818,"1","0","76"
19,"15",1,49.4545454545455,50.5454545454545,"1","100","0"
19,"16",1,36.6872727272727,39.3127272727273,"1","0","76"
19,"17",1,46.5454545454545,53.4545454545455,"1","100","0"
19,"18",1,31.5054545454545,44.4945454545455,"1","0","76"
19,"19",1,48,52,"1","100","0"
19,"2",1,34.8909090909091,41.1090909090909,"1","0","76"
19,"20",1,30.9527272727273,45.0472727272727,"1","0","76"
19,"3",1,46.7272727272727,53.2727272727273,"1","100","0"
