"","Period","Sender","group_id","rp.confirm.round","datetime","Time","rp.confirm.y","rp.confirm.x","rp.round_started.price","rp.round_started.endowment.y","rp.round_started.endowment.x"
"1",56,1,1,1,"2016-04-15 15:48:59.585",1460760539585404160,60.6448181818182,61.3727272727273,1.57,0,100
"2",56,3,1,1,"2016-04-15 15:49:32.977",1460760572976570880,83.2770818181818,46.9572727272727,1.57,0,100
"3",56,5,1,1,"2016-04-15 15:49:43.241",1460760583241133056,84.8456545454546,45.9581818181818,1.57,0,100
"4",56,7,1,1,"2016-04-15 15:49:51.730",1460760591729764096,100.083218181818,36.2527272727273,1.57,0,100
"5",56,9,1,1,"2016-04-15 15:49:58.653",1460760598653276160,114.872618181818,26.8327272727273,1.57,0,100
"6",56,11,1,1,"2016-04-15 15:50:04.747",1460760604746538240,114.424454545455,27.1181818181818,1.57,0,100
"7",56,13,1,1,"2016-04-15 15:50:08.103",1460760608103393280,64.7188363636364,7.18545454545455,1.57,76,0
"8",56,15,1,1,"2016-04-15 15:49:11.390",1460760551389819904,27.4042181818182,30.9527272727273,1.57,76,0
"9",56,17,1,1,"2016-04-15 15:49:17.595",1460760557595215360,30.7668727272727,28.8109090909091,1.57,76,0
"10",56,19,1,1,"2016-04-15 15:50:12.898",1460760612898305280,40.8548363636364,22.3854545454545,1.57,76,0
"11",56,1,1,2,"2016-04-15 15:50:37.522",1460760637521558016,54.2435272727273,58.5927272727273,1.31,0,100
"12",56,3,1,2,"2016-04-15 15:51:12.832",1460760672832319232,61.9090909090909,38.0909090909091,1,0,100
"13",56,5,1,2,"2016-04-15 15:51:21.353",1460760681353392384,66.9090909090909,33.0909090909091,1,0,100
"14",56,7,1,2,"2016-04-15 15:51:32.329",1460760692329495808,65.2727272727273,34.7272727272727,1,0,100
"15",56,9,1,2,"2016-04-15 15:51:40.830",1460760700829821184,74.5454545454545,25.4545454545455,1,0,100
"16",56,11,1,2,"2016-04-15 15:51:46.971",1460760706970696192,103.854418181818,20.7218181818182,1.31,0,100
"17",56,13,1,2,"2016-04-15 15:51:53.608",1460760713607713536,66.2250181818182,7.46181818181818,1.31,76,0
"18",56,15,1,2,"2016-04-15 15:50:49.550",1460760649549886208,31.6505454545455,33.8545454545455,1.31,76,0
"19",56,17,1,2,"2016-04-15 15:50:56.523",1460760656523164928,33.0081818181818,32.8181818181818,1.31,76,0
"20",56,19,1,2,"2016-04-15 15:51:56.738",1460760716737931776,49.1927272727273,26.8072727272727,1,76,0
"21",56,1,1,3,"2016-04-15 15:52:10.866",1460760730865686016,46.9090909090909,53.0909090909091,1,0,100
"22",56,3,1,3,"2016-04-15 15:52:43.200",1460760763199938048,41.6,35,0.64,0,100
"23",56,5,1,3,"2016-04-15 15:53:03.562",1460760783561948160,27.6945454545455,56.7272727272727,0.64,0,100
"24",56,7,1,3,"2016-04-15 15:53:12.056",1460760792056213760,19.8981818181818,68.9090909090909,0.64,0,100
"25",56,9,1,3,"2016-04-15 15:53:20.765",1460760800764502272,21.8763636363636,65.8181818181818,0.64,0,100
"26",56,11,1,3,"2016-04-15 15:53:27.709",1460760807709438208,12.7272727272727,87.2727272727273,1,0,100
"27",56,13,1,3,"2016-04-15 15:53:30.368",1460760810367889408,3.31636363636363,72.6836363636364,1,76,0
"28",56,15,1,3,"2016-04-15 15:52:22.326",1460760742325596928,37.7236363636364,38.2763636363636,1,76,0
"29",56,17,1,3,"2016-04-15 15:52:28.491",1460760748490884864,42.9054545454545,33.0945454545455,1,76,0
"30",56,19,1,3,"2016-04-15 15:53:34.810",1460760814810284032,35.7890909090909,62.8295454545455,0.64,76,0
"31",56,1,1,4,"2016-04-15 15:54:06.521",1460760846520536832,45.5745454545455,45.0909090909091,0.83,0,100
"32",56,3,1,4,"2016-04-15 15:55:15.630",1460760915630190592,29.9727272727273,57.1818181818182,0.7,0,100
"33",56,5,1,4,"2016-04-15 15:55:25.001",1460760925001481472,22.0181818181818,68.5454545454545,0.7,0,100
"34",56,7,1,4,"2016-04-15 15:55:32.377",1460760932376807936,20.6181818181818,70.5454545454545,0.7,0,100
"35",56,9,1,4,"2016-04-15 15:55:39.948",1460760939948059136,8.01818181818182,88.5454545454545,0.7,0,100
"36",56,11,1,4,"2016-04-15 15:55:47.786",1460760947785569280,7.24363636363637,91.2727272727273,0.83,0,100
"37",56,13,1,4,"2016-04-15 15:55:52.184",1460760952184100352,0,91.566265060241,0.83,76,0
"38",56,15,1,4,"2016-04-15 15:54:27.127",1460760867126571520,41.4545454545455,41.6210295728368,0.83,76,0
"39",56,17,1,4,"2016-04-15 15:54:52.713",1460760892712969728,38.3454545454545,45.3669222343921,0.83,76,0
"40",56,19,1,4,"2016-04-15 15:55:57.394",1460760957394248192,38,54.2857142857143,0.7,76,0
"41",56,1,1,5,"2016-04-15 15:56:10.937",1460760970936919552,39.0981818181818,38.9090909090909,0.64,0,100
"42",56,3,1,5,"2016-04-15 15:57:09.094",1460761029093589760,35.2372727272727,57.5454545454545,0.83,0,100
"43",56,5,1,5,"2016-04-15 15:57:21.330",1460761041330226944,32.4454545454545,60.9090909090909,0.83,0,100
"44",56,7,1,5,"2016-04-15 15:57:30.232",1460761050232342784,27.7672727272727,66.5454545454545,0.83,0,100
"45",56,9,1,5,"2016-04-15 15:57:37.580",1460761057580012544,17.3545454545455,79.0909090909091,0.83,0,100
"46",56,11,1,5,"2016-04-15 15:57:43.018",1460761063017809408,9.19272727272728,85.6363636363636,0.64,0,100
"47",56,13,1,5,"2016-04-15 15:57:45.800",1460761065800160512,5.11272727272727,110.761363636364,0.64,76,0
"48",56,15,1,5,"2016-04-15 15:56:34.703",1460760994702665728,46.0145454545455,46.8522727272727,0.64,76,0
"49",56,17,1,5,"2016-04-15 15:56:48.177",1460761008176715008,43.0436363636364,51.4943181818182,0.64,76,0
"50",56,19,1,5,"2016-04-15 15:57:50.378",1460761070378059008,38.1381818181818,45.6166484118291,0.83,76,0
"51",56,1,1,6,"2016-04-15 15:58:02.017",1460761082016975104,36.3763636363636,36.1818181818182,0.57,0,100
"52",56,3,1,6,"2016-04-15 15:59:00.773",1460761140773432576,41.3445454545455,53.5454545454545,0.89,0,100
"53",56,5,1,6,"2016-04-15 15:59:10.282",1460761150282020352,35.9236363636364,59.6363636363636,0.89,0,100
"54",56,7,1,6,"2016-04-15 15:59:17.881",1460761157880541440,24.4345454545455,72.5454545454545,0.89,0,100
"55",56,9,1,6,"2016-04-15 15:59:24.908",1460761164907869952,26.7,70,0.89,0,100
"56",56,11,1,6,"2016-04-15 15:59:30.066",1460761170065745152,15.8563636363636,72.1818181818182,0.57,0,100
"57",56,13,1,6,"2016-04-15 15:59:33.001",1460761173000541952,24.32,90.6666666666667,0.57,76,0
"58",56,15,1,6,"2016-04-15 15:58:20.094",1460761100094426368,48.2254545454545,48.7272727272727,0.57,76,0
"59",56,17,1,6,"2016-04-15 15:58:38.768",1460761118768201472,46.4981818181818,51.7575757575758,0.57,76,0
"60",56,19,1,6,"2016-04-15 15:59:37.314",1460761177313768960,35.9272727272727,45.0255362614913,0.89,76,0
"61",56,1,1,7,"2016-04-15 15:59:50.137",1460761190137319936,33.4545454545455,33.0909090909091,0.5,0,100
"62",56,3,1,7,"2016-04-15 16:01:04.119",1460761264118886912,37.5145454545454,60.0909090909091,0.94,0,100
"63",56,5,1,7,"2016-04-15 16:01:14.515",1460761274514807296,31.7890909090909,66.1818181818182,0.94,0,100
"64",56,7,1,7,"2016-04-15 16:01:22.854",1460761282854235904,29.5672727272727,68.5454545454545,0.94,0,100
"65",56,9,1,7,"2016-04-15 16:01:33.229",1460761293229225984,20.3381818181818,78.3636363636364,0.94,0,100
"66",56,11,1,7,"2016-04-15 16:01:39.338",1460761299338447104,12.6363636363636,74.7272727272727,0.5,0,100
"67",56,13,1,7,"2016-04-15 16:01:44.760",1460761304759968000,2.90181818181819,146.196363636364,0.5,76,0
