"","Period","Sender","group_id","rp.round_started.round","datetime","Time","ClientTime","Key","rp.round_started.price","rp.round_started.endowment.y","rp.round_started.endowment.x","rp.confirm.y","rp.confirm.x","rp.confirm.round"
"1",56,1,1,1,"2016-04-15 15:48:35.739",1460760515739089408,1460760515402,"rp.round_started",1.57,0,100,NA,NA,NA
"2",56,1,1,NA,"2016-04-15 15:48:59.585",1460760539585404160,1460760539247,"rp.confirm",NA,NA,NA,60.6448181818182,61.3727272727273,1
"3",56,1,1,2,"2016-04-15 15:50:13.232",1460760613231634688,1460760612891,"rp.round_started",1.31,0,100,NA,NA,NA
"4",56,1,1,NA,"2016-04-15 15:50:37.522",1460760637521558016,1460760637180,"rp.confirm",NA,NA,NA,54.2435272727273,58.5927272727273,2
"5",56,1,1,3,"2016-04-15 15:51:57.093",1460760717093218304,1460760716780,"rp.round_started",1,0,100,NA,NA,NA
"6",56,1,1,NA,"2016-04-15 15:52:10.866",1460760730865686016,1460760730552,"rp.confirm",NA,NA,NA,46.9090909090909,53.0909090909091,3
"7",56,1,1,4,"2016-04-15 15:53:35.139",1460760815138968064,1460760814815,"rp.round_started",0.83,0,100,NA,NA,NA
"8",56,1,1,NA,"2016-04-15 15:54:06.521",1460760846520536832,1460760846195,"rp.confirm",NA,NA,NA,45.5745454545455,45.0909090909091,4
"9",56,1,1,5,"2016-04-15 15:55:57.724",1460760957723514368,1460760957394,"rp.round_started",0.64,0,100,NA,NA,NA
"10",56,1,1,NA,"2016-04-15 15:56:10.937",1460760970936919552,1460760970607,"rp.confirm",NA,NA,NA,39.0981818181818,38.9090909090909,5
"11",56,1,1,6,"2016-04-15 15:57:50.706",1460761070705991424,1460761070373,"rp.round_started",0.57,0,100,NA,NA,NA
"12",56,1,1,NA,"2016-04-15 15:58:02.017",1460761082016975104,1460761081683,"rp.confirm",NA,NA,NA,36.3763636363636,36.1818181818182,6
"13",56,1,1,7,"2016-04-15 15:59:37.636",1460761177636291072,1460761177268,"rp.round_started",0.5,0,100,NA,NA,NA
"14",56,1,1,NA,"2016-04-15 15:59:50.137",1460761190137319936,1460761189769,"rp.confirm",NA,NA,NA,33.4545454545455,33.0909090909091,7
"15",56,1,1,8,"2016-04-15 16:01:48.544",1460761308543713792,1460761308171,"rp.round_started",0.43,0,100,NA,NA,NA
"16",56,1,1,NA,"2016-04-15 16:02:05.106",1460761325105948672,1460761324733,"rp.confirm",NA,NA,NA,30.4127272727273,29.2727272727273,8
"17",56,1,1,9,"2016-04-15 16:03:44.105",1460761424105358080,1460761423729,"rp.round_started",0.36,0,100,NA,NA,NA
"18",56,1,1,NA,"2016-04-15 16:04:20.138",1460761460138351872,1460761459760,"rp.confirm",NA,NA,NA,26.64,26,9
"19",56,1,1,10,"2016-04-15 16:05:55.116",1460761555116156672,1460761554735,"rp.round_started",0.367495518141204,0,100,NA,NA,NA
"20",56,3,1,1,"2016-04-15 15:48:35.780",1460760515779577088,1460760512125,"rp.round_started",1.57,0,100,NA,NA,NA
"21",56,3,1,NA,"2016-04-15 15:49:32.977",1460760572976570880,1460760569321,"rp.confirm",NA,NA,NA,83.2770818181818,46.9572727272727,1
"22",56,3,1,2,"2016-04-15 15:50:13.278",1460760613277878016,1460760609621,"rp.round_started",1,0,100,NA,NA,NA
"23",56,3,1,NA,"2016-04-15 15:51:12.832",1460760672832319232,1460760669175,"rp.confirm",NA,NA,NA,61.9090909090909,38.0909090909091,2
"24",56,3,1,3,"2016-04-15 15:51:56.975",1460760716974674944,1460760713316,"rp.round_started",0.64,0,100,NA,NA,NA
"25",56,3,1,NA,"2016-04-15 15:52:43.200",1460760763199938048,1460760759541,"rp.confirm",NA,NA,NA,41.6,35,3
"26",56,3,1,4,"2016-04-15 15:53:35.146",1460760815146025984,1460760811478,"rp.round_started",0.7,0,100,NA,NA,NA
"27",56,3,1,NA,"2016-04-15 15:55:15.630",1460760915630190592,1460760911962,"rp.confirm",NA,NA,NA,29.9727272727273,57.1818181818182,4
"28",56,3,1,5,"2016-04-15 15:55:57.641",1460760957640798720,1460760953972,"rp.round_started",0.83,0,100,NA,NA,NA
"29",56,3,1,NA,"2016-04-15 15:57:09.094",1460761029093589760,1460761025424,"rp.confirm",NA,NA,NA,35.2372727272727,57.5454545454545,5
"30",56,3,1,6,"2016-04-15 15:57:50.624",1460761070624236288,1460761066954,"rp.round_started",0.89,0,100,NA,NA,NA
"31",56,3,1,NA,"2016-04-15 15:59:00.773",1460761140773432576,1460761137102,"rp.confirm",NA,NA,NA,41.3445454545455,53.5454545454545,6
"32",56,3,1,7,"2016-04-15 15:59:37.677",1460761177677097728,1460761174005,"rp.round_started",0.94,0,100,NA,NA,NA
"33",56,3,1,NA,"2016-04-15 16:01:04.119",1460761264118886912,1460761260444,"rp.confirm",NA,NA,NA,37.5145454545454,60.0909090909091,7
"34",56,3,1,8,"2016-04-15 16:01:48.504",1460761308503531520,1460761304828,"rp.round_started",1,0,100,NA,NA,NA
"35",56,3,1,NA,"2016-04-15 16:03:00.238",1460761380238304000,1460761376561,"rp.confirm",NA,NA,NA,40.6363636363636,59.3636363636364,8
"36",56,3,1,9,"2016-04-15 16:03:44.022",1460761424022386176,1460761420346,"rp.round_started",1.06,0,100,NA,NA,NA
"37",56,3,1,NA,"2016-04-15 16:05:11.108",1460761511108445440,1460761507431,"rp.confirm",NA,NA,NA,47.4706545454546,55.2163636363636,9
"38",56,3,1,10,"2016-04-15 16:05:55.033",1460761555032954112,1460761551355,"rp.round_started",1.09072291115709,0,100,NA,NA,NA
"39",56,5,1,1,"2016-04-15 15:48:35.825",1460760515825086208,1460760515453,"rp.round_started",1.57,0,100,NA,NA,NA
"40",56,5,1,NA,"2016-04-15 15:49:43.241",1460760583241133056,1460760582867,"rp.confirm",NA,NA,NA,84.8456545454546,45.9581818181818,1
"41",56,5,1,2,"2016-04-15 15:50:13.249",1460760613248524032,1460760612874,"rp.round_started",1,0,100,NA,NA,NA
